iter	Accuracy	Logloss
0	0.6081761061	0.6923229819
1	0.6379774313	0.6915571511
2	0.6748964608	0.6907515145
3	0.7053980509	0.6898387591
4	0.7231748062	0.6890569087
5	0.7300874333	0.6882796442
6	0.7441177648	0.68751737
7	0.773193814	0.6866939081
8	0.7662811869	0.6861009754
9	0.7793811651	0.6852738665
10	0.7748494432	0.6847918466
11	0.7613993325	0.6839113839
12	0.7626197961	0.6832820524
13	0.7722634608	0.6828474598
14	0.7755747191	0.6821899026
15	0.7832726442	0.6815397537
16	0.7772303483	0.6808836338
17	0.7820521806	0.6794793571
18	0.7916958453	0.6782314847
19	0.7963726225	0.6776668649
20	0.7948620485	0.6769066749
21	0.8076719163	0.6759796576
22	0.7963726225	0.6753078043
23	0.8040705476	0.6743900333
24	0.8178107686	0.6735709513
25	0.8157199739	0.672428947
26	0.822632601	0.6715020052
27	0.819611453	0.6708273604
28	0.8212670822	0.6699684532
29	0.821122027	0.6691270427
30	0.8164452498	0.6683613604
31	0.8263790249	0.6675428774
32	0.8171705258	0.6669634769
33	0.8343670604	0.6658420024
34	0.8296902832	0.6653305835
35	0.8327114312	0.6646939391
36	0.8343670604	0.6638570652
37	0.8464516523	0.6627940156
38	0.8465967074	0.6620858669
39	0.8405544115	0.6614968537
40	0.8452311887	0.6605630064
41	0.847031873	0.6598034354
42	0.8441557803	0.6592986008
43	0.8453762439	0.6585762279
44	0.8496178554	0.6573681333
45	0.8497629106	0.6566572834
46	0.8479622262	0.6557802971
47	0.8524939482	0.6549047522
48	0.8588263545	0.6540693017
49	0.8574608357	0.6535899184
50	0.8589714097	0.6531078219
51	0.8633580765	0.6524008715
52	0.8619925577	0.6518412182
53	0.8636481869	0.65113103
54	0.8636481869	0.6502485094
55	0.8621376129	0.6496417002
56	0.8636481869	0.6488741145
57	0.8636481869	0.6483849344
58	0.8591164649	0.6477228617
59	0.8591164649	0.6472769382
60	0.8574608357	0.6462248439
61	0.8636481869	0.6454582991
62	0.8666693348	0.6446914595
63	0.8666693348	0.6440786884
64	0.8650137056	0.643415646
65	0.8573157805	0.6422740108
66	0.8589714097	0.6414548716
67	0.8635031317	0.6410178698
68	0.8604819837	0.6404405036
69	0.8621376129	0.6400164597
70	0.8636481869	0.6392216778
71	0.8651587608	0.63849619
72	0.8681799088	0.6378536868
73	0.871346112	0.6372610881
74	0.869835538	0.636838816
75	0.8730017411	0.6361186576
76	0.869835538	0.6356398176
77	0.8684700192	0.6350453958
78	0.8746573703	0.6345239264
79	0.8699805932	0.6338614602
80	0.8728566859	0.6331337121
81	0.8746573703	0.6325964452
82	0.8746573703	0.631803106
83	0.8714911672	0.6312076168
84	0.8730017411	0.630618914
85	0.868324964	0.6300008804
86	0.8730017411	0.6289409147
87	0.8746573703	0.6284413099
88	0.8761679443	0.6279273284
89	0.8794792027	0.6270927487
90	0.8748024255	0.6262556365
91	0.8766031099	0.6258122207
92	0.8734369067	0.6248785977
93	0.8763129995	0.6245214998
94	0.8764580547	0.6237980356
95	0.8794792027	0.6232057559
96	0.8764580547	0.622220074
97	0.8779686287	0.6217107638
98	0.8779686287	0.6212267483
99	0.8764580547	0.6203700299
