iter	Passed	Remaining
0	143	14241
1	148	7290
2	155	5018
3	161	3873
4	167	3182
5	174	2726
6	179	2390
7	186	2143
8	193	1953
9	200	1800
10	205	1666
11	211	1550
12	217	1454
13	223	1371
14	228	1297
15	234	1229
16	240	1172
17	246	1122
18	251	1072
19	256	1027
20	262	987
21	268	951
22	274	918
23	280	887
24	286	858
25	291	828
26	297	804
27	304	782
28	310	759
29	316	737
30	322	716
31	328	697
32	334	680
33	341	662
34	348	647
35	355	631
36	361	615
37	369	602
38	375	587
39	384	576
40	390	562
41	397	549
42	403	534
43	409	520
44	414	506
45	419	492
46	424	479
47	430	466
48	435	453
49	440	440
50	445	428
51	451	417
52	457	405
53	462	393
54	467	382
55	473	371
56	478	360
57	484	350
58	489	339
59	494	329
60	500	319
61	505	309
62	510	299
63	515	290
64	521	280
65	528	272
66	535	263
67	541	254
68	548	246
69	555	237
70	560	228
71	565	219
72	570	211
73	576	202
74	582	194
75	588	185
76	594	177
77	600	169
78	606	161
79	611	152
80	618	145
81	624	137
82	630	129
83	637	121
84	643	113
85	649	105
86	656	98
87	662	90
88	668	82
89	673	74
90	678	67
91	684	59
92	689	51
93	695	44
94	700	36
95	706	29
96	712	22
97	718	14
98	723	7
99	729	0
